Time,Shade Type,No Differences (number of pixels),Percentage Non-zero Differences (%),Percentage Overlapping (%),Mean Difference (local - global),Min Difference (local - global),Median Difference (local - global),Max Difference (local - global),Std Difference
1200,Building Shade,0,100.0,24.6841,0.1625,-1.2363,0.1808,1.2812,0.3073
1200,Tree Shade,0,100.0,90.856,0.2581,-2.237,0.2415,3.1775,0.2304
1200,No Shade,2,99.9996,94.7511,0.215,-1.4841,0.2325,2.024,0.1617
1500,Building Shade,0,100.0,25.1256,0.241,-0.677,0.2463,1.1148,0.1959
1500,Tree Shade,0,100.0,89.368,0.1749,-1.4837,0.1616,1.5433,0.1289
1500,No Shade,0,100.0,92.5271,0.1508,-1.6357,0.1633,1.8493,0.1925
1800,Building Shade,1,99.9988,58.1622,-0.0022,-0.7085,0.0233,0.7743,0.1434
1800,Tree Shade,1,99.9987,81.8117,0.0248,-0.8166,0.0393,0.7657,0.1045
1800,No Shade,3,99.999,83.6117,0.0386,-0.9364,0.0384,0.9224,0.0842
