Time,Mask,Mean Error (global - local),Min True (local),Max True (local),Mean True (local),Median True (local),Std True (local),Min Pred (global),Max Pred (global),Mean Pred (global),Median Pred (global),Std Pred (global)
1200,Whole Area,-0.2952,66.0964,71.9309,70.0744,70.8938,1.5414,65.895,71.5889,69.7792,70.7164,1.5922
1200,Shade (Building and Tree),-0.1878,66.0964,69.2528,66.8367,66.7796,0.4819,65.895,68.9939,66.6489,66.6002,0.4978
1200,No Shade,-0.2262,69.0776,71.9309,70.6805,70.986,0.6692,68.8096,71.5889,70.4543,70.8414,0.6777
1200,Building Shade,-0.1553,66.0964,68.2153,67.2846,67.3307,0.2748,65.9627,67.8559,67.1293,67.1727,0.269
1200,Tree Shade,-0.2578,66.1271,69.2528,66.7798,66.6946,0.4727,65.895,68.9939,66.522,66.4352,0.466
1500,Whole Area,-0.1789,65.7492,70.2047,68.9404,69.6017,1.3851,65.6126,70.0475,68.7615,69.47,1.4236
1500,Shade (Building and Tree),-0.1258,65.7492,67.9102,66.3233,66.2997,0.3701,65.6126,67.934,66.1975,66.149,0.3896
1500,No Shade,-0.1337,67.8812,70.2047,69.5514,69.7319,0.6016,67.737,70.0475,69.4177,69.6004,0.6271
1500,Building Shade,-0.0882,65.7492,67.674,66.6192,66.6439,0.2625,65.613,67.244,66.531,66.5873,0.2498
1500,Tree Shade,-0.1737,65.77,67.9102,66.2164,66.1404,0.3443,65.6126,67.934,66.0427,65.9586,0.3431
1800,Whole Area,-0.0207,41.4536,43.5393,42.2554,42.1689,0.4212,41.3894,43.4862,42.2347,42.1295,0.4406
1800,Shade (Building and Tree),-0.0397,41.4536,42.6845,41.925,41.8556,0.2271,41.3894,42.6427,41.8853,41.8295,0.2304
1800,No Shade,-0.003,41.6847,43.5393,42.4592,42.5957,0.3823,41.639,43.4862,42.4562,42.6383,0.3962
1800,Building Shade,-0.0375,41.4736,42.5657,41.8301,41.7859,0.1706,41.3894,42.4543,41.7926,41.7524,0.1814
1800,Tree Shade,-0.0358,41.4536,42.6845,42.0664,42.1528,0.2271,41.406,42.6427,42.0306,42.1116,0.224
