Shade Type,No Differences (number of pixels),Percentage Non-zero Differences (%),Percentage Overlapping (%),Min Difference (local - global),Median Difference (local - global),Max Difference (local - global),Std Difference
Building Shade,6,99.9986,42.4681,-0.7646,-0.0029,0.6055,0.1131
Tree Shade,37,99.9953,74.381,-0.9982,-0.0141,0.9513,0.1134
No Shade,92,99.998,85.8508,-1.2364,-0.0274,1.2818,0.2387
