Time,Mask,Mean Error (global - local),Min True (local),Max True (local),Mean True (local),Median True (local),Std True (local),Min Pred (global),Max Pred (global),Mean Pred (global),Median Pred (global),Std Pred (global)
1200,Whole Area,-0.1907,42.8707,52.6824,49.3835,50.7377,2.6915,42.8944,52.1731,49.1928,50.7143,2.714
1200,Shade (Building and Tree),0.194,42.8707,47.1306,44.0112,43.9292,0.4855,42.8944,47.1044,44.2052,44.2106,0.4818
1200,No Shade,-0.058,46.3535,52.6824,50.6648,50.7825,0.625,46.3672,52.1731,50.6068,50.7265,0.5799
1200,Building Shade,0.2329,42.8707,46.5623,44.0638,44.1672,0.4573,42.8944,45.6399,44.2967,44.3424,0.3487
1200,Tree Shade,0.1563,42.9907,47.1306,43.9887,43.8725,0.4954,42.9937,47.1044,44.145,44.0052,0.5438
1500,Whole Area,-0.0464,52.8643,58.4414,56.9319,57.677,1.4997,52.8462,58.0088,56.8855,57.5245,1.4827
1500,Shade (Building and Tree),0.1483,52.8643,55.8281,53.5661,53.4938,0.3939,52.8462,55.8268,53.7144,53.5929,0.4339
1500,No Shade,-0.0251,54.4879,58.4414,57.5332,57.7508,0.4873,54.4466,58.0088,57.5081,57.6572,0.4808
1500,Building Shade,0.0975,52.8643,55.5347,53.9233,54.0246,0.3825,52.8462,54.8106,54.0208,54.138,0.3686
1500,Tree Shade,0.1238,52.8742,55.8281,53.5345,53.4784,0.379,52.8816,55.8268,53.6583,53.5218,0.4213
1800,Whole Area,-0.058,45.7401,48.9362,47.8039,48.4204,1.0899,45.7571,48.8316,47.7459,48.2344,1.1112
1800,Shade (Building and Tree),0.0309,45.7401,47.2081,46.1362,46.0913,0.1673,45.7571,47.1906,46.1671,46.1353,0.1762
1800,No Shade,-0.0008,46.4668,48.9362,48.4452,48.574,0.3913,46.4452,48.8316,48.4444,48.5949,0.4201
1800,Building Shade,0.0115,45.7766,47.0656,46.1537,46.12,0.1572,45.7737,47.0477,46.1652,46.1387,0.1643
1800,Tree Shade,0.0505,45.7401,47.2081,46.1192,46.0585,0.1748,45.7571,47.1906,46.1697,46.1292,0.1914
