Time,Class,User Accuracy,Producer Accuracy,Weight (Local),Weighted User Acc (Local),Weighted Prod Acc (Local)
1200D,Building Shade,0.066,0.329,0.0146,0.001,0.0048
1200D,Tree Shade,0.816,0.767,0.0849,0.0693,0.0651
1200D,No Shade,0.972,0.915,0.9005,0.8757,0.824
1500D,Building Shade,0.149,0.357,0.0425,0.0063,0.0152
1500D,Tree Shade,0.798,0.737,0.0837,0.0667,0.0617
1500D,No Shade,0.954,0.896,0.8738,0.8333,0.7829
1800D,Building Shade,0.504,0.596,0.2874,0.1448,0.1714
1800D,Tree Shade,0.635,0.518,0.0829,0.0527,0.043
1800D,No Shade,0.803,0.755,0.6297,0.5056,0.4754
