Time,Actual Class,Predicted Class,Count
1200D,Building Shade,Building Shade,2924
1200D,Building Shade,Tree Shade,465
1200D,Building Shade,No Shade,5487
1200D,Tree Shade,Building Shade,3335
1200D,Tree Shade,Tree Shade,39714
1200D,Tree Shade,No Shade,8746
1200D,No Shade,Building Shade,38198
1200D,No Shade,Tree Shade,8503
1200D,No Shade,No Shade,502589
1500D,Building Shade,Building Shade,9255
1500D,Building Shade,Tree Shade,1411
1500D,Building Shade,No Shade,15278
1500D,Tree Shade,Building Shade,5457
1500D,Tree Shade,Tree Shade,37639
1500D,Tree Shade,No Shade,7945
1500D,No Shade,Building Shade,47294
1500D,No Shade,Tree Shade,8142
1500D,No Shade,No Shade,477540
1800D,Building Shade,Building Shade,104551
1800D,Building Shade,Tree Shade,6992
1800D,Building Shade,No Shade,63751
1800D,Tree Shade,Building Shade,16894
1800D,Tree Shade,Tree Shade,26202
1800D,Tree Shade,No Shade,7458
1800D,No Shade,Building Shade,86071
1800D,No Shade,Tree Shade,8045
1800D,No Shade,No Shade,289997
