Time,Class,(Local) Area %,(Global) Area %
1200D,Building Shade,1.46,7.29
1200D,Tree Shade,8.49,7.98
1200D,No Shade,90.05,84.73
1500D,Building Shade,4.25,10.17
1500D,Tree Shade,8.37,7.74
1500D,No Shade,87.38,82.1
1800D,Building Shade,28.74,34.02
1800D,Tree Shade,8.29,6.76
1800D,No Shade,62.97,59.22
