Time,Class,User Accuracy,Producer Accuracy,Weight,Weighted User Acc,Weighted Prod Acc
1200D,Building Shade,0.478,0.547,0.1238,0.0592,0.0677
1200D,Tree Shade,0.904,0.895,0.1778,0.1607,0.1592
1200D,No Shade,0.926,0.905,0.6984,0.6466,0.6317
1500D,Building Shade,0.528,0.583,0.1331,0.0703,0.0776
1500D,Tree Shade,0.894,0.89,0.1691,0.1512,0.1505
1500D,No Shade,0.929,0.912,0.6978,0.6482,0.6361
1800D,Building Shade,0.732,0.691,0.4127,0.3022,0.2852
1800D,Tree Shade,0.728,0.767,0.1263,0.0919,0.0969
1800D,No Shade,0.784,0.812,0.461,0.3614,0.3742
