Time,Class,(Local) Area %,(Global) Area %
1200D,Building Shade,12.38,14.16
1200D,Tree Shade,17.78,17.61
1200D,No Shade,69.84,68.24
1500D,Building Shade,13.31,14.7
1500D,Tree Shade,16.91,16.83
1500D,No Shade,69.78,68.48
1800D,Building Shade,41.27,38.96
1800D,Tree Shade,12.63,13.31
1800D,No Shade,46.1,47.73
