Time,Actual Class,Predicted Class,Count
1200D,Building Shade,Building Shade,249108
1200D,Building Shade,Tree Shade,37486
1200D,Building Shade,No Shade,169109
1200D,Tree Shade,Building Shade,51231
1200D,Tree Shade,Tree Shade,585854
1200D,Tree Shade,No Shade,17308
1200D,No Shade,Building Shade,220659
1200D,No Shade,Tree Shade,24745
1200D,No Shade,No Shade,2325161
1500D,Building Shade,Building Shade,285558
1500D,Building Shade,Tree Shade,42241
1500D,Building Shade,No Shade,162077
1500D,Tree Shade,Building Shade,51647
1500D,Tree Shade,Tree Shade,553768
1500D,Tree Shade,No Shade,17109
1500D,No Shade,Building Shade,203766
1500D,No Shade,Tree Shade,23303
1500D,No Shade,No Shade,2341192
1800D,Building Shade,Building Shade,1049885
1800D,Building Shade,Tree Shade,109256
1800D,Building Shade,No Shade,359837
1800D,Tree Shade,Building Shade,88573
1800D,Tree Shade,Tree Shade,356595
1800D,Tree Shade,No Shade,19768
1800D,No Shade,Building Shade,295516
1800D,No Shade,Tree Shade,24048
1800D,No Shade,No Shade,1377183
