Time,Mask,Mean Error (global - local),Min True (local),Max True (local),Mean True (local),Median True (local),Std True (local),Min Pred (global),Max Pred (global),Mean Pred (global),Median Pred (global),Std Pred (global)
1200,Whole Area,-0.062,46.4953,55.2408,52.0132,53.3042,2.3705,46.5577,55.1722,51.9512,53.3461,2.4225
1200,Shade (Building and Tree),0.0411,46.4953,50.2493,47.5525,47.5345,0.4434,46.5577,50.2253,47.5936,47.5786,0.4527
1200,No Shade,0.0165,50.8014,55.2408,53.0699,53.533,1.0362,50.7783,55.1722,53.0864,53.7014,1.0531
1200,Building Shade,0.1442,46.4953,48.9155,47.7329,47.8043,0.3369,46.5577,48.8904,47.8771,47.9102,0.2661
1200,Tree Shade,-0.0263,46.6164,50.2493,47.4855,47.3869,0.4592,46.6561,50.2253,47.4592,47.3525,0.4609
1500,Whole Area,-0.0035,59.295,64.101,62.7271,63.3436,1.3666,59.2844,64.0841,62.7236,63.3952,1.4057
1500,Shade (Building and Tree),0.0305,59.295,61.8198,59.8829,59.8358,0.431,59.2844,62.0209,59.9134,59.8427,0.4585
1500,No Shade,0.0329,61.3362,64.101,63.227,63.4429,0.7013,61.3403,64.0841,63.2599,63.5186,0.7201
1500,Building Shade,0.0922,59.3869,61.1209,60.4166,60.4676,0.2626,59.3086,61.0583,60.5088,60.6028,0.2718
1500,Tree Shade,-0.0176,59.295,61.8198,59.8489,59.7989,0.417,59.2844,62.0209,59.8313,59.7786,0.4165
1800,Whole Area,0.0048,50.6136,53.3994,52.2443,52.517,0.9249,50.6225,53.3994,52.2491,52.4171,0.9657
1800,Shade (Building and Tree),-0.012,50.6136,51.8522,50.9429,50.9038,0.1617,50.6225,51.8544,50.9309,50.8998,0.1534
1800,No Shade,0.0401,51.407,53.3994,52.7303,52.8279,0.5445,51.3976,53.3994,52.7704,52.8705,0.5771
1800,Building Shade,-0.0155,50.6734,51.6429,51.002,50.9765,0.1408,50.6739,51.6225,50.9865,50.9797,0.1282
1800,Tree Shade,-0.0134,50.6136,51.8522,50.8924,50.8408,0.1613,50.6225,51.8544,50.879,50.8278,0.1568
