Time,Mask,Mean Error (global - local),Min True (local),Max True (local),Mean True (local),Median True (local),Std True (local),Min Pred (global),Max Pred (global),Mean Pred (global),Median Pred (global),Std Pred (global)
1200,Whole Area,-0.1467,71.5041,77.5524,76.2362,76.724,1.3109,71.3704,77.509,76.0895,76.8517,1.4919
1200,Shade (Building and Tree),0.2117,71.5041,75.0098,72.5385,72.4871,0.4885,71.3704,75.0273,72.7502,72.8538,0.4908
1200,No Shade,0.0466,74.734,77.5524,76.6447,76.7868,0.4525,75.126,77.509,76.6913,76.8643,0.4601
1200,Building Shade,0.2503,71.5469,74.1069,72.6731,72.7279,0.3466,71.4495,73.7624,72.9234,72.9727,0.3165
1200,Tree Shade,0.0766,71.5041,75.0098,72.5154,72.4284,0.5053,71.3704,75.0273,72.592,72.4396,0.563
1500,Whole Area,-0.1356,66.3046,70.7862,69.8418,70.2608,1.162,66.2939,70.7242,69.7062,70.2173,1.2771
1500,Shade (Building and Tree),0.1135,66.3046,68.6487,67.029,66.9796,0.3119,66.2939,68.571,67.1425,67.1827,0.3222
1500,No Shade,0.0172,68.6008,70.7862,70.2481,70.3976,0.4726,68.7099,70.7242,70.2653,70.3462,0.467
1500,Building Shade,0.0978,66.3046,68.1322,67.1357,67.1335,0.249,66.2939,67.9419,67.2335,67.2934,0.2745
1500,Tree Shade,0.048,66.3894,68.6487,66.9748,66.9051,0.3263,66.3819,68.571,67.0228,66.9284,0.3406
1800,Whole Area,-0.0048,40.8673,42.9802,41.7609,41.8853,0.4685,40.9013,42.9704,41.7561,41.7131,0.4582
1800,Shade (Building and Tree),0.0534,40.8673,42.1563,41.2866,41.2129,0.233,40.9013,42.1136,41.34,41.2843,0.2073
1800,No Shade,0.0029,41.1541,42.9802,42.0397,42.2,0.3266,41.187,42.9704,42.0426,42.225,0.3516
1800,Building Shade,0.0863,40.8673,42.0761,41.2264,41.1834,0.1839,40.9013,41.9063,41.3127,41.2659,0.1852
1800,Tree Shade,-0.0174,40.89,42.1563,41.4952,41.5762,0.2628,40.9433,42.1136,41.4778,41.5103,0.2528
