Time,Mask,Mean Error (global - local),Min True (local),Max True (local),Mean True (local),Median True (local),Std True (local),Min Pred (global),Max Pred (global),Mean Pred (global),Median Pred (global),Std Pred (global)
1200,Whole Area,-0.3365,42.8844,52.6824,49.0374,50.546,2.7905,42.942,52.1104,48.7009,50.5075,2.8871
1200,Building Shade,3.5331,42.8844,46.5623,44.1356,44.2301,0.427,42.9937,52.0201,47.6687,50.1692,3.1597
1200,Tree Shade,0.3508,42.9907,47.1306,44.0592,43.938,0.5186,43.1099,51.9855,44.41,44.156,1.235
1200,No Shade,-0.8321,47.4754,52.6824,50.5201,50.7189,0.7065,42.942,52.1104,49.688,50.6308,2.1677
1500,Whole Area,-0.1267,52.8643,58.4414,56.7045,57.3905,1.5584,52.8462,58.0012,56.5778,57.2894,1.5179
1500,Building Shade,2.0342,52.8643,55.5347,53.9536,54.0752,0.3928,52.8494,57.9704,55.9878,57.0821,1.7242
1500,Tree Shade,0.1842,52.8742,55.8281,53.5672,53.4951,0.403,52.8462,57.9523,53.7514,53.6185,0.6404
1500,No Shade,-0.2238,54.7702,58.4414,57.3988,57.5668,0.5384,52.8858,58.0012,57.175,57.3827,0.8146
1800,Whole Area,-0.2657,45.7401,48.9362,47.634,48.1288,1.0768,45.7571,48.8316,47.3683,47.9006,1.0515
1800,Building Shade,0.6314,45.7766,47.0656,46.1768,46.1502,0.1681,45.7991,48.8298,46.8082,46.2728,0.9608
1800,Tree Shade,0.085,45.7401,47.2081,46.139,46.0785,0.1874,45.7571,48.8298,46.224,46.142,0.3805
1800,No Shade,-0.5495,46.5991,48.9362,48.3243,48.449,0.436,45.7766,48.8316,47.7748,48.1277,0.9084
