Time,Mean Absolute Error,Minimum Absolute Error,Maximum Absolute Error,90th percentile,95th percentile
1200,1.0211,0.0,10.2583,6.1226,7.1938
1500,0.5409,0.0,8.3811,0.9362,3.9295
1800,0.5606,0.0,5.0056,2.4027,2.6995
