Time,mask,Class,User Accuracy,Producer Accuracy,Weight (Global),Weighted User Acc (Global),Weighted Prod Acc (Global)
1200D,non_building,Building Shade,0.51,0.699,0.2131,0.1086,0.1489
1200D,non_building,Tree Shade,0.92,0.898,0.2281,0.21,0.2049
1200D,non_building,No Shade,0.932,0.853,0.5587,0.5209,0.4765
1500D,non_building,Building Shade,0.556,0.776,0.2284,0.1269,0.1772
1500D,non_building,Tree Shade,0.919,0.889,0.215,0.1976,0.1912
1500D,non_building,No Shade,0.947,0.859,0.5565,0.5273,0.4778
1800D,non_building,Building Shade,0.759,0.856,0.5166,0.3923,0.442
1800D,non_building,Tree Shade,0.807,0.783,0.1666,0.1345,0.1305
1800D,non_building,No Shade,0.857,0.734,0.3167,0.2713,0.2325
