Time,mask,Class,(Local) Area %,(Global) Area %
1200D,non_building,Building Shade,15.54,21.31
1200D,non_building,Tree Shade,23.38,22.81
1200D,non_building,No Shade,61.08,55.87
1500D,non_building,Building Shade,16.36,22.84
1500D,non_building,Tree Shade,22.23,21.5
1500D,non_building,No Shade,61.41,55.65
1800D,non_building,Building Shade,45.85,51.66
1800D,non_building,Tree Shade,17.18,16.66
1800D,non_building,No Shade,36.97,31.67
