Time,mask,Actual Class,Predicted Class,Count
1200D,pedestrian,Building Shade,Building Shade,32907
1200D,pedestrian,Building Shade,Tree Shade,4312
1200D,pedestrian,Building Shade,No Shade,9198
1200D,pedestrian,Tree Shade,Building Shade,6598
1200D,pedestrian,Tree Shade,Tree Shade,36597
1200D,pedestrian,Tree Shade,No Shade,733
1200D,pedestrian,No Shade,Building Shade,22602
1200D,pedestrian,No Shade,Tree Shade,1725
1200D,pedestrian,No Shade,No Shade,74704
1500D,pedestrian,Building Shade,Building Shade,38660
1500D,pedestrian,Building Shade,Tree Shade,3895
1500D,pedestrian,Building Shade,No Shade,7146
1500D,pedestrian,Tree Shade,Building Shade,5800
1500D,pedestrian,Tree Shade,Tree Shade,32062
1500D,pedestrian,Tree Shade,No Shade,673
1500D,pedestrian,No Shade,Building Shade,17658
1500D,pedestrian,No Shade,Tree Shade,2186
1500D,pedestrian,No Shade,No Shade,81296
1800D,pedestrian,Building Shade,Building Shade,96623
1800D,pedestrian,Building Shade,Tree Shade,7481
1800D,pedestrian,Building Shade,No Shade,9873
1800D,pedestrian,Tree Shade,Building Shade,5356
1800D,pedestrian,Tree Shade,Tree Shade,17121
1800D,pedestrian,Tree Shade,No Shade,998
1800D,pedestrian,No Shade,Building Shade,16477
1800D,pedestrian,No Shade,Tree Shade,1473
1800D,pedestrian,No Shade,No Shade,33974
