Time,mask,Class,User Accuracy,Producer Accuracy,Weight (Local),Weighted User Acc (Local),Weighted Prod Acc (Local)
1200D,pedestrian,Building Shade,0.53,0.709,0.2451,0.1299,0.1738
1200D,pedestrian,Tree Shade,0.858,0.833,0.232,0.1991,0.1933
1200D,pedestrian,No Shade,0.883,0.754,0.5229,0.4616,0.3945
1500D,pedestrian,Building Shade,0.622,0.778,0.2624,0.1633,0.2041
1500D,pedestrian,Tree Shade,0.841,0.832,0.2035,0.171,0.1693
1500D,pedestrian,No Shade,0.912,0.804,0.5341,0.4872,0.4293
1800D,pedestrian,Building Shade,0.816,0.848,0.6019,0.4909,0.5102
1800D,pedestrian,Tree Shade,0.657,0.729,0.124,0.0814,0.0904
1800D,pedestrian,No Shade,0.758,0.654,0.2742,0.2077,0.1794
