Time,mask,Class,User Accuracy,Producer Accuracy,Weight (Global),Weighted User Acc (Global),Weighted Prod Acc (Global)
1200D,pedestrian,Building Shade,0.53,0.709,0.328,0.1738,0.2325
1200D,pedestrian,Tree Shade,0.858,0.833,0.2251,0.1933,0.1876
1200D,pedestrian,No Shade,0.883,0.754,0.4469,0.3945,0.3371
1500D,pedestrian,Building Shade,0.622,0.778,0.328,0.2041,0.2551
1500D,pedestrian,Tree Shade,0.841,0.832,0.2014,0.1693,0.1676
1500D,pedestrian,No Shade,0.912,0.804,0.4706,0.4293,0.3782
1800D,pedestrian,Building Shade,0.816,0.848,0.6255,0.5102,0.5303
1800D,pedestrian,Tree Shade,0.657,0.729,0.1377,0.0904,0.1004
1800D,pedestrian,No Shade,0.758,0.654,0.2368,0.1794,0.1549
