Time,mask,Class,(Local) Area %,(Global) Area %
1200D,pedestrian,Building Shade,24.51,32.8
1200D,pedestrian,Tree Shade,23.2,22.51
1200D,pedestrian,No Shade,52.29,44.69
1500D,pedestrian,Building Shade,26.24,32.8
1500D,pedestrian,Tree Shade,20.35,20.14
1500D,pedestrian,No Shade,53.41,47.06
1800D,pedestrian,Building Shade,60.19,62.55
1800D,pedestrian,Tree Shade,12.4,13.77
1800D,pedestrian,No Shade,27.42,23.68
