Time,Class,(Local) Area %,(Global) Area %
1200D,Building Shade,1.78,3.71
1200D,Tree Shade,13.99,14.03
1200D,No Shade,84.23,82.26
1500D,Building Shade,5.02,6.46
1500D,Tree Shade,13.9,13.92
1500D,No Shade,81.07,79.62
1800D,Building Shade,22.83,23.7
1800D,Tree Shade,15.33,15.1
1800D,No Shade,61.84,61.2
