Time,Actual Class,Predicted Class,Count
1200D,Building Shade,Building Shade,2676
1200D,Building Shade,Tree Shade,393
1200D,Building Shade,No Shade,7772
1200D,Tree Shade,Building Shade,637
1200D,Tree Shade,Tree Shade,77532
1200D,Tree Shade,No Shade,7166
1200D,No Shade,Building Shade,19295
1200D,No Shade,Tree Shade,7673
1200D,No Shade,No Shade,486817
1500D,Building Shade,Building Shade,7701
1500D,Building Shade,Tree Shade,1452
1500D,Building Shade,No Shade,21497
1500D,Tree Shade,Building Shade,2413
1500D,Tree Shade,Tree Shade,75785
1500D,Tree Shade,No Shade,6603
1500D,No Shade,Building Shade,29299
1500D,No Shade,Tree Shade,7655
1500D,No Shade,No Shade,457556
1800D,Building Shade,Building Shade,80985
1800D,Building Shade,Tree Shade,6875
1800D,Building Shade,No Shade,51380
1800D,Tree Shade,Building Shade,10465
1800D,Tree Shade,Tree Shade,76489
1800D,Tree Shade,No Shade,6540
1800D,No Shade,Building Shade,53093
1800D,No Shade,Tree Shade,8728
1800D,No Shade,No Shade,315406
