Time,Mask,Mean Error (global - local),Min True (local),Max True (local),Mean True (local),Median True (local),Std True (local),Min Pred (global),Max Pred (global),Mean Pred (global),Median Pred (global),Std Pred (global)
1200,Whole Area,-0.104,54.4015,60.8996,58.7943,59.5739,1.6454,54.3755,60.4875,58.6903,59.5627,1.6598
1200,Shade (Building and Tree),0.1591,54.4015,57.4561,55.1665,55.0982,0.3992,54.3755,57.4566,55.3256,55.2702,0.4249
1200,No Shade,-0.0306,56.4048,60.8996,59.4917,59.591,0.4248,56.4166,60.4875,59.4611,59.57,0.3966
1200,Building Shade,0.1553,54.4015,57.1797,55.3794,55.4969,0.3683,54.3755,56.4054,55.5347,55.6043,0.3207
1200,Tree Shade,0.1169,54.4826,57.4561,55.1313,55.0623,0.3931,54.484,57.4566,55.2482,55.1442,0.4326
1500,Whole Area,-0.0926,53.2949,58.2258,56.872,57.6448,1.4896,53.2651,57.9712,56.7794,57.4756,1.5105
1500,Shade (Building and Tree),0.1091,53.2949,55.6753,53.913,53.8549,0.3188,53.2651,55.7077,54.0221,53.9865,0.3326
1500,No Shade,-0.0225,54.9843,58.2258,57.5627,57.7284,0.4386,54.8914,57.9712,57.5402,57.6832,0.4514
1500,Building Shade,0.0428,53.2949,55.3934,54.0941,54.0869,0.2986,53.2651,55.0472,54.1369,54.1847,0.3066
1500,Tree Shade,0.1059,53.3455,55.6753,53.841,53.7829,0.2972,53.3495,55.7077,53.9469,53.8618,0.3275
1800,Whole Area,0.0151,37.0738,39.5018,38.1924,38.4219,0.5367,37.0632,39.4713,38.2075,38.4098,0.5085
1800,Shade (Building and Tree),0.0571,37.0738,38.601,37.6276,37.5463,0.278,37.0632,38.6087,37.6847,37.6268,0.2629
1800,No Shade,-0.0054,37.3548,39.5018,38.5767,38.6651,0.2581,37.3546,39.4713,38.5713,38.6742,0.2605
1800,Building Shade,0.0757,37.0738,38.5607,37.5496,37.4838,0.2339,37.0632,38.4459,37.6253,37.5725,0.2292
1800,Tree Shade,0.0462,37.0833,38.601,37.7608,37.858,0.2962,37.0758,38.6087,37.807,37.8804,0.2847
