Time,Shade Type,No Differences (number of pixels),Percentage Non-zero Differences (%),Percentage Overlapping (%),Mean Difference (local - global),Min Difference (local - global),Median Difference (local - global),Max Difference (local - global),Std Difference
1200,Building Shade,1,99.9962,15.0611,-0.1165,-1.4301,-0.0563,1.3306,0.3136
1200,Tree Shade,13,99.9986,90.9075,-0.1076,-2.7285,-0.056,2.6412,0.3034
1200,No Shade,233,99.9961,94.3727,0.0226,-1.9189,0.0083,1.8534,0.2094
1500,Building Shade,0,100.0,27.2538,-0.0414,-1.171,-0.028,1.0134,0.1863
1500,Tree Shade,31,99.9965,85.855,-0.0988,-1.6741,-0.0523,1.53,0.1964
1500,No Shade,164,99.9971,92.0246,0.0186,-1.5997,-0.0205,1.5921,0.269
1800,Building Shade,12,99.9988,49.9983,-0.0417,-0.9527,-0.0138,0.8764,0.1633
1800,Tree Shade,75,99.9897,64.1647,-0.0164,-1.1772,-0.0051,1.0079,0.1372
1800,No Shade,4138,99.8846,79.609,-0.0006,-1.0971,-0.0092,0.8801,0.0981
