Time,mask,Class,User Accuracy,Producer Accuracy,Weight,Weighted User Acc,Weighted Prod Acc
1200D,pedestrian,Building Shade,0.184,0.224,0.0895,0.0165,0.0201
1200D,pedestrian,Tree Shade,0.837,0.885,0.1693,0.1417,0.1498
1200D,pedestrian,No Shade,0.919,0.882,0.7412,0.6809,0.6541
1500D,pedestrian,Building Shade,0.082,0.129,0.0189,0.0015,0.0024
1500D,pedestrian,Tree Shade,0.925,0.919,0.187,0.1729,0.1717
1500D,pedestrian,No Shade,0.975,0.963,0.7942,0.7744,0.7649
1800D,pedestrian,Building Shade,0.462,0.542,0.2156,0.0995,0.1169
1800D,pedestrian,Tree Shade,0.785,0.764,0.1809,0.1421,0.1382
1800D,pedestrian,No Shade,0.853,0.806,0.6035,0.5146,0.4866
