Time,mask,Actual Class,Predicted Class,Count
1200D,pedestrian,Building Shade,Building Shade,33
1200D,pedestrian,Building Shade,Tree Shade,32
1200D,pedestrian,Building Shade,No Shade,82
1200D,pedestrian,Tree Shade,Building Shade,19
1200D,pedestrian,Tree Shade,Tree Shade,246
1200D,pedestrian,Tree Shade,No Shade,13
1200D,pedestrian,No Shade,Building Shade,127
1200D,pedestrian,No Shade,Tree Shade,16
1200D,pedestrian,No Shade,No Shade,1074
1500D,pedestrian,Building Shade,Building Shade,4
1500D,pedestrian,Building Shade,Tree Shade,8
1500D,pedestrian,Building Shade,No Shade,19
1500D,pedestrian,Tree Shade,Building Shade,12
1500D,pedestrian,Tree Shade,Tree Shade,282
1500D,pedestrian,Tree Shade,No Shade,13
1500D,pedestrian,No Shade,Building Shade,33
1500D,pedestrian,No Shade,Tree Shade,15
1500D,pedestrian,No Shade,No Shade,1256
1800D,pedestrian,Building Shade,Building Shade,192
1800D,pedestrian,Building Shade,Tree Shade,38
1800D,pedestrian,Building Shade,No Shade,124
1800D,pedestrian,Tree Shade,Building Shade,56
1800D,pedestrian,Tree Shade,Tree Shade,227
1800D,pedestrian,Tree Shade,No Shade,14
1800D,pedestrian,No Shade,Building Shade,168
1800D,pedestrian,No Shade,Tree Shade,24
1800D,pedestrian,No Shade,No Shade,799
