Time,Mask,Mean Error (global - local),Min True (local),Max True (local),Mean True (local),Median True (local),Std True (local),Min Pred (global),Max Pred (global),Mean Pred (global),Median Pred (global),Std Pred (global)
1200,Whole Area,-0.5765,37.4464,48.1472,44.7463,45.9559,2.7083,37.4902,47.889,44.1698,46.1563,3.103
1200,Shade (Building and Tree),0.2242,37.4464,42.3276,39.0064,38.9952,0.5435,37.4902,42.2546,39.2306,39.247,0.471
1200,No Shade,0.0645,42.7999,48.1472,45.885,46.0893,0.9482,43.4104,47.889,45.9495,46.361,1.0297
1200,Building Shade,0.3044,37.4464,40.9605,38.9173,38.9881,0.4388,37.4902,40.6296,39.2217,39.2538,0.3393
1200,Tree Shade,0.1815,37.6435,42.3276,39.0659,39.0087,0.596,37.5989,42.2546,39.2474,39.2019,0.6504
1500,Whole Area,-0.1869,41.2893,48.0025,46.2876,46.8031,1.5964,41.2527,47.8833,46.1007,46.8646,1.6721
1500,Shade (Building and Tree),0.2123,41.2893,44.684,42.3009,42.2258,0.5323,41.2527,44.8975,42.5132,42.6047,0.5535
1500,No Shade,-0.0364,44.2237,48.0025,46.7626,46.8965,0.836,44.4175,47.8833,46.7262,46.9503,0.771
1500,Building Shade,0.1519,41.3734,43.7595,42.6472,42.7202,0.3697,41.2527,43.5709,42.7991,42.8944,0.3693
1500,Tree Shade,0.0932,41.2893,44.684,42.2903,42.2047,0.533,41.2662,44.8975,42.3835,42.2984,0.5741
1800,Whole Area,-0.4041,39.5297,43.2516,41.7339,42.2258,1.1635,39.5936,43.2445,41.3298,41.3348,1.1611
1800,Shade (Building and Tree),-0.011,39.5297,41.1452,40.0596,40.0354,0.1935,39.5936,41.1142,40.0486,40.0364,0.174
1800,No Shade,-0.1489,40.7248,43.2516,42.366,42.4636,0.6266,40.8009,43.2445,42.2171,42.3398,0.5802
1800,Building Shade,-0.0134,39.5937,40.9668,40.0438,40.0191,0.1816,39.5936,40.8659,40.0304,40.0206,0.1621
1800,Tree Shade,0.0325,39.5297,41.1452,40.0867,40.0609,0.2097,39.6142,41.1142,40.1192,40.1054,0.1989
