Time,Mask,Mean Error (global - local),Min True (local),Max True (local),Mean True (local),Median True (local),Std True (local),Min Pred (global),Max Pred (global),Mean Pred (global),Median Pred (global),Std Pred (global)
1200,Whole Area,-0.2206,42.9525,52.0976,49.0232,50.5175,2.8236,43.092,51.9599,48.8026,50.5056,2.8748
1200,Shade (Building and Tree),0.1999,42.9525,46.9876,44.1781,44.1624,0.4459,43.092,47.0749,44.378,44.3648,0.409
1200,No Shade,0.005,47.7597,52.0976,50.6272,50.7167,0.4487,47.8777,51.9599,50.6322,50.6727,0.412
1200,Building Shade,0.0857,42.9525,46.1268,44.2567,44.3311,0.3443,43.092,45.6022,44.3424,44.3737,0.2816
1200,Tree Shade,0.2678,43.1189,46.9876,44.1369,44.0149,0.4857,43.1228,47.0749,44.4047,44.3475,0.4814
1500,Whole Area,-0.0726,52.9017,58.3632,56.6742,57.2835,1.5251,52.9129,57.9366,56.6016,57.2824,1.4489
1500,Shade (Building and Tree),0.2017,52.9017,55.7044,53.6808,53.5677,0.3827,52.9129,55.721,53.8825,53.8623,0.4034
1500,No Shade,-0.0661,55.0629,58.3632,57.4007,57.4195,0.3906,55.1011,57.9366,57.3346,57.3632,0.3021
1500,Building Shade,0.0729,52.963,54.6278,54.023,54.131,0.3466,52.9129,54.7663,54.0959,54.2003,0.3384
1500,Tree Shade,0.2001,52.9017,55.7044,53.6477,53.5468,0.3696,52.9181,55.721,53.8478,53.7864,0.4024
1800,Whole Area,-0.1897,45.7908,48.8298,47.5226,48.0346,1.0704,45.7855,48.8298,47.3329,47.9517,0.9761
1800,Shade (Building and Tree),0.0434,45.7908,47.1141,46.1894,46.1705,0.1607,45.7855,47.1906,46.2328,46.2258,0.1549
1800,No Shade,-0.1649,46.6579,48.8298,48.3217,48.337,0.336,46.6873,48.8298,48.1568,48.1433,0.2512
1800,Building Shade,0.0054,45.8254,46.9171,46.216,46.214,0.1512,45.7855,46.9098,46.2214,46.2188,0.1522
1800,Tree Shade,0.0907,45.7908,47.1141,46.1589,46.1145,0.1658,45.8226,47.1906,46.2496,46.2364,0.1572
