Time,Actual Class,Predicted Class,Count
1200D,Building Shade,Building Shade,103788
1200D,Building Shade,Tree Shade,65094
1200D,Building Shade,No Shade,267144
1200D,Tree Shade,Building Shade,71815
1200D,Tree Shade,Tree Shade,893567
1200D,Tree Shade,No Shade,56595
1200D,No Shade,Building Shade,488156
1200D,No Shade,Tree Shade,49985
1200D,No Shade,No Shade,5575436
1500D,Building Shade,Building Shade,12206
1500D,Building Shade,Tree Shade,16785
1500D,Building Shade,No Shade,64315
1500D,Tree Shade,Building Shade,30016
1500D,Tree Shade,Tree Shade,985281
1500D,Tree Shade,No Shade,39114
1500D,No Shade,Building Shade,150291
1500D,No Shade,Tree Shade,48052
1500D,No Shade,No Shade,6225520
1800D,Building Shade,Building Shade,438891
1800D,Building Shade,Tree Shade,111851
1800D,Building Shade,No Shade,482718
1800D,Tree Shade,Building Shade,202484
1800D,Tree Shade,Tree Shade,795444
1800D,Tree Shade,No Shade,71490
1800D,No Shade,Building Shade,703905
1800D,No Shade,Tree Shade,69874
1800D,No Shade,No Shade,4694923
