Time,Class,User Accuracy,Producer Accuracy,Weight (Local),Weighted User Acc (Local),Weighted Prod Acc (Local)
1200D,Building Shade,0.156,0.238,0.0576,0.009,0.0137
1200D,Tree Shade,0.886,0.874,0.135,0.1196,0.118
1200D,No Shade,0.945,0.912,0.8074,0.7631,0.7364
1500D,Building Shade,0.063,0.131,0.0123,0.0008,0.0016
1500D,Tree Shade,0.938,0.934,0.1393,0.1307,0.1301
1500D,No Shade,0.984,0.969,0.8484,0.8346,0.8222
1800D,Building Shade,0.326,0.425,0.1365,0.0445,0.058
1800D,Tree Shade,0.814,0.744,0.1412,0.115,0.1051
1800D,No Shade,0.894,0.859,0.7223,0.646,0.6201
