Time,Class,(Local) Area %,(Global) Area %
1200D,Building Shade,5.76,8.77
1200D,Tree Shade,13.5,13.32
1200D,No Shade,80.74,77.91
1500D,Building Shade,1.23,2.54
1500D,Tree Shade,13.93,13.87
1500D,No Shade,84.84,83.59
1800D,Building Shade,13.65,17.77
1800D,Tree Shade,14.12,12.91
1800D,No Shade,72.23,69.33
