system:index,Code,FID_1,FeatureCla,city_name,count_0,count_1,count_2,count_3,count_4,count_5,country_iso3,hasPlace,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,pop_2010,region,un_region,.geo
0000e7d508cf13641865,1127,5374,Urban area,Macae,310536,192043,390,40675,318674,7406,BRA,20,0.519041841282805,0.7199326662846176,0.3822974259993935,0.6885693627125692,0.8013874403322393,0.5738525751414587,202040,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
000068d2a6a0740325b8,283,5397,Urban area,Cabo Frio,372575,158416,2570,295933,637368,7068,BRA,20,0.2670266853896936,0.7024172513619372,0.08881249373205206,0.685560951881023,0.8619239368921221,0.5995733038341231,140127,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000f8164665ed3c7120,284,5398,Urban area,Araruama,211253,103012,203,583085,327626,2058,BRA,15,1.213384617944603,1.7701110293169635,1.3550968388763103,1.1569889201213013,1.7216266448314774,0.7605047262203584,106170,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000e96512556bb0f6f1,1129,5368,Urban area,Nova Friburgo,198662,176671,2147,36219,192523,1955,BRA,20,0.493527516037542,0.6461777845791858,0.6147889783819842,0.9549802792687793,0.7957937080336932,0.2205524285382625,159307,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000eaee8c4fdd510c45,4082,2692,Urban area,Teresopolis,178113,141089,2088,49969,274372,3270,BRA,15,0.8941785441910877,1.2733573149455617,0.9608521425091044,0.979684306571162,1.1399642611071437,0.5977745911830478,145911,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
000087785abc66e02493,1130,5349,Urban area,Juiz De Fora,807685,548299,4153,36232,1251089,676,BRA,20,1.3901345050863625,1.8984347333944906,1.225972392769526,1.3408898880097828,2.073232141703026,1.6937505994385007,509834,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000e871dae88faf7c13,1131,2691,Urban area,Petropolis,320915,181034,4403,83281,214126,1517,BRA,20,0.39660150790014803,0.44800878648466924,0.2582602455056654,0.41636459136167087,0.5104955087652768,0.220547530816297,281194,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000a5cfac5e010c28d5,16,491,Urban area,Rio de Janeiro,9738958,7105039,1350452,3410136,20540979,126320,BRA,20,2.3140006317360773,3.80256686382925,5.770894631619966,2.8355713564678866,4.544805419443445,1.3328798084442743,12373884,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000d0c3995cd1ce77c7,4083,5401,Urban area,Marica,132260,59859,1205,63985,288915,414,BRA,15,0.5513747400609995,0.6766859642591889,0.6273862367098101,0.1518486189760838,0.5445623749989209,1.720787508825766,125491,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
00001c07097e8fbc34de,4085,5379,Urban area,Resende,132240,102018,2571,7551,247017,1597,BRA,15,1.2523521339190913,1.3874789578697388,1.7366041308609095,0.7750275382602441,1.634529457412504,0.6306059452661891,112181,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000d01eefd588afe4e9,1132,5381,Urban area,Volta Redonda,768671,504505,67425,57908,1020805,2275,BRA,20,1.3356428074290407,2.4052210972687407,1.7657253755017237,0.9522451420893162,1.561208970164713,1.937977382745707,432613,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000c391cfc23a7e81b3,1133,5315,Urban area,Divinopolis,454053,211142,709,114609,732203,141,BRA,20,1.4061690023344013,2.0748460800181086,1.770244112845271,1.0754714106947938,2.071705203779233,0.8126379357637015,207245,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
00006d7ad0cd56795030,4087,5324,Urban area,Conselheiro Lafaiete,250829,82073,758,41205,398717,37,BRA,20,1.0597192983089363,1.4850136458250711,0.5844245941385515,0.4764901485882118,1.7330940551287188,2.5148780938595077,111137,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000d52c836fa7445b5,4089,2690,Urban area,Barbacena,160204,97808,978,38612,286490,7,BRA,20,1.8253976647525587,2.7648378497239707,2.039836168632121,0.9475054101092512,2.4500470489951467,2.6749626673028177,115490,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000fac3f85f099efe6d,72,5307,Urban area,Vale do A�o,3631913,4427575,14903,732053,11597189,26314,BRA,20,2.196502044590347,3.430851163479491,2.372169445958453,1.559143653041342,3.4707629054887272,2.1714812683715943,473491,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
00007f3bcc8cbadd0136,1134,5302,Urban area,Itabira,353782,366358,22978,48036,255590,501,BRA,15,-0.308661943948467,-0.3747603386414033,1.5547508909549133,2.3515903639324596,3.0784617835521058,-0.05559437647564541,102202,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000e850e5fb92b53a0b,1135,5297,Urban area,Sete Lagoas,359492,279728,41,199929,725396,671,BRA,20,1.2341743715048987,1.544216626644973,1.9901675517413235,2.140419593996649,1.5932468831088584,2.5956198001349025,208956,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000f345aa1f45251e06,1142,5279,Urban area,Montes Claros,538904,479506,9,190707,995763,4473,BRA,20,1.918034739148281,3.273970632310565,2.800450558208143,2.0953548055972933,3.448388866158356,1.3957460178346648,343916,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
00001f682e567246ba4a,4100,5292,Urban area,Governador Valadares,311165,270261,1059,196406,557113,1357,BRA,20,2.044585898900519,3.176074001016648,1.8051435318846225,2.001432790529124,2.8879006037713584,2.3842815626188543,253176,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
000081b16beabdb11116,10072,719,Urban area,Teofilo Otoni,76213,98646,1444,80957,138167,3,BRA,20,0.8652443684414544,1.4232530231371812,1.7942405472281084,0.8468188547232174,1.768968757103083,0.1390163313854771,110012,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
00005aef097cb956e9fa,4101,5296,Urban area,Linhares,168395,138973,4408,2425,382675,258,BRA,20,2.2097790079060387,2.4431605994164167,3.273415073924198,2.6064720442116522,2.88205103379858,2.8422148732532535,121290,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
00008a80a1eeab7ebdee,4106,2485,Urban area,Cachoeiro de Itapemirim,172655,135567,659,90942,262340,1102,BRA,20,1.4296231839738975,1.656059557855873,2.8232293604745733,1.702493006806069,2.1251107487835483,0.4030137747986526,173426,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
