system:index,Code,FID_1,FeatureCla,city_name,count_0,count_1,count_3,count_4,count_5,country_iso3,hasPlace,mean_0,mean_1,mean_3,mean_4,mean_5,pop_2010,region,un_region,.geo
0000e7d508cf13641865,1127,5374,Urban area,Macae,89,60,10,109,3,BRA,20,0.33423564522139004,0.3553091167345372,0.29371056909308857,0.4675725544148922,0.6211590509547756,202040,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
000068d2a6a0740325b8,283,5397,Urban area,Cabo Frio,99,41,81,196,4,BRA,20,0.010121843176000574,0.6138677763131288,0.7938448250256851,0.45532827292244865,0.3018290798637473,140127,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000f8164665ed3c7120,284,5398,Urban area,Araruama,57,22,179,100,,BRA,15,1.5040260648301464,1.7060239925947156,1.4426631764076225,1.8268023952966277,,106170,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000e96512556bb0f6f1,1129,5368,Urban area,Nova Friburgo,61,41,9,59,,BRA,20,0.2736484824175725,0.5527899203434691,0.36148432395389324,0.5775983836522622,,159307,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000eaee8c4fdd510c45,4082,2692,Urban area,Teresopolis,52,38,21,71,0,BRA,15,0.49085271202286107,1.0182326943493507,0.6392910183083668,0.6298038229568853,,145911,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
000087785abc66e02493,1130,5349,Urban area,Juiz De Fora,243,120,7,377,,BRA,20,0.7531921610054739,1.0589468537878999,0.851947034616166,1.1679852467407017,,509834,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000e871dae88faf7c13,1131,2691,Urban area,Petropolis,99,45,23,66,,BRA,20,0.1520992644624861,0.22918016753304007,-0.16467201830570685,0.20230747287436268,,281194,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000a5cfac5e010c28d5,16,491,Urban area,Rio de Janeiro,2728,1745,940,6244,24,BRA,20,1.3177246063334684,2.307556998743323,1.9104832648004355,2.888895636589521,0.5646066544255651,12373884,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000d0c3995cd1ce77c7,4083,5401,Urban area,Marica,34,14,23,95,,BRA,15,0.2560295507736774,0.4534407705073491,-0.09866092212053373,0.38029005382219805,,125491,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
00001c07097e8fbc34de,4085,5379,Urban area,Resende,37,30,1,81,,BRA,15,0.5310044149822919,0.6797571093208544,0.5633140972445219,0.7048555354021406,,112181,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000d01eefd588afe4e9,1132,5381,Urban area,Volta Redonda,222,141,12,293,1,BRA,20,0.7279145790738677,1.461871611999865,0.5511581902030224,0.8647045933591697,0.6447800145106228,432613,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000c391cfc23a7e81b3,1133,5315,Urban area,Divinopolis,138,56,34,213,,BRA,20,0.8559941940299202,1.310833338334222,0.4633926145599253,1.1336325454001026,,207245,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
00006d7ad0cd56795030,4087,5324,Urban area,Conselheiro Lafaiete,71,23,15,113,,BRA,20,0.7688026854108146,1.0570842978772568,0.47709833439279153,1.1360891364296857,,111137,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
