system:index,Code,FID_1,FeatureCla,city_name,count_0,count_1,count_3,count_4,count_5,country_iso3,hasPlace,mean_0,mean_1,mean_3,mean_4,mean_5,pop_2010,region,un_region,.geo
00008deb91c2a280db92,6843,1728,Urban area,Hafar Al-Batin,71,134,4,136,,SAU,20,0.98746019361935,1.2600714197920255,0.9596473594349599,1.2308172094058316,,272984,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
00008869e79a83a91cf9,664,9375,Urban area,Nasiriyah,101,113,303,13,1,IRQ,20,1.2791867744201957,1.5812909802598263,1.6304540533219969,2.1959290175408297,2.02467149245723,495100,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
00002eaad66e585817b5,2572,9360,Urban area,Samawah,44,51,112,7,0,IRQ,20,1.2525726623480247,1.4404774359785586,1.3269833781915734,1.6704982617001483,,174599,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000d2df39c64407af8a,2577,3490,Urban area,Kut,79,54,193,36,2,IRQ,20,1.1864332279174643,1.291853970327894,1.1987994811312546,1.4609678100129964,1.2170701986335146,313291,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
000057dc828d685bace2,2603,3415,Urban area,Ilam,20,42,30,84,4,IRN,20,0.13817067193973068,0.22623339642846765,0.31889544476130155,0.33592079961896987,0.326909488269581,169005,South and Central Asia (SCA),South Central Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000522d3bbc104de7af,2578,3547,Urban area,Amarah,68,88,334,24,0,IRQ,20,0.9133185516196695,1.152953296490778,1.0729626628537166,1.3438726696043173,,390584,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
000059e510df9c21d0dc,667,3501,Urban area,Andimeshk,60,121,69,237,2,IRN,0,1.1764098858025132,1.2960876215630572,1.2120558391330292,1.9978207043315324,-0.1162181279207175,125028,South and Central Asia (SCA),South Central Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
00009c3e40f12474b646,2585,3402,Urban area,Borujerd,59,60,24,131,6,IRN,20,0.2589680246238684,0.5687164080792976,0.5492365840728048,0.8684866425299024,-0.354356020790485,237674,South and Central Asia (SCA),South Central Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
00004e0cdbc1e0e1e2c5,668,3393,Urban area,Arak,81,136,5,258,24,IRN,20,1.6055963736623793,1.821289183347072,0.5221802937216932,2.043652946950296,1.8406320670346177,474046,South and Central Asia (SCA),South Central Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
00005f9f4d1a8d54c699,2588,3383,Urban area,Malayer,22,68,3,107,3,IRN,20,1.4334642008028353,1.807713420663299,1.7516902388828848,2.301991319426718,1.473772068274639,158902,South and Central Asia (SCA),South Central Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000efced07ee38e0bc,2590,3424,Urban area,Khorramabad,43,80,88,128,5,IRN,20,0.29670787050138714,0.5357625648223644,-0.02511967254923304,0.5656172237708753,0.4347425020038173,344396,South and Central Asia (SCA),South Central Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
