system:index,Code,FID_1,FeatureCla,city_name,count_0,count_1,count_2,count_3,count_4,count_5,country_iso3,hasPlace,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,pop_2010,region,un_region,.geo
0000e7d508cf13641865,1127,5374,Urban area,Macae,310536,192043,390,40675,318674,7406,BRA,20,0.20885908757739088,0.19349976903954672,0.23312218709371504,0.09088600137477458,0.2166072880285638,0.07952693119367804,202040,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
000068d2a6a0740325b8,283,5397,Urban area,Cabo Frio,372575,158416,2570,295933,637368,7068,BRA,20,0.062338230675202125,0.03347320751244752,0.13906137786787073,0.01861140804671196,0.1648364691460979,0.013443468289533474,140127,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000f8164665ed3c7120,284,5398,Urban area,Araruama,211253,103012,203,583085,327626,2058,BRA,15,-0.31546576257788356,-0.3284204143856153,-0.2807683281901824,-0.28129187018447144,-0.20448241908062623,0.008561236939365918,106170,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000e96512556bb0f6f1,1129,5368,Urban area,Nova Friburgo,198662,176671,2147,36219,192523,1955,BRA,20,0.05141420818371658,0.07852103971045452,0.15037802240203335,-0.05810194839379521,0.10861438979480985,0.16395161364663044,159307,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000eaee8c4fdd510c45,4082,2692,Urban area,Teresopolis,178113,141089,2088,49969,274372,3270,BRA,15,0.2630810149941278,0.29995586683309633,0.15134687396963462,0.15551929234949619,0.2817949845487401,0.29238461549561506,145911,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
000087785abc66e02493,1130,5349,Urban area,Juiz De Fora,807685,548299,4153,36232,1251089,676,BRA,20,0.8290993271554091,0.9233125654336539,1.0726939621801808,0.7688159561911556,1.0989266622601923,1.3238349768955464,509834,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000e871dae88faf7c13,1131,2691,Urban area,Petropolis,320915,181034,4403,83281,214126,1517,BRA,20,0.3514160491591989,0.32325526088181983,0.15219466263848316,0.3517642978149151,0.3971032664247272,0.6079709308929542,281194,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000a5cfac5e010c28d5,16,491,Urban area,Rio de Janeiro,9738958,7105039,1350452,3410136,20540979,126320,BRA,20,0.6860173427266192,0.8195507062450684,1.0853947549029737,0.5801207659026489,0.9729027890083507,0.6282911569572454,12373884,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000d0c3995cd1ce77c7,4083,5401,Urban area,Marica,132260,59859,1205,63985,288915,414,BRA,15,0.15809798298103647,0.14801770296942593,0.42192798560908057,0.18660273047666742,0.15912133745148108,0.241385749124328,125491,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
00001c07097e8fbc34de,4085,5379,Urban area,Resende,132240,102018,2571,7551,247017,1597,BRA,15,0.26450285148132235,0.33819066750368015,0.31036426757744023,0.16356171587786464,0.3036047809135144,0.11228601534478766,112181,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000d01eefd588afe4e9,1132,5381,Urban area,Volta Redonda,768671,504505,67425,57908,1020805,2275,BRA,20,0.42435670263478253,0.568825367889592,0.5233798195497221,0.30153763058371236,0.48240347003734974,0.4645408307199316,432613,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000c391cfc23a7e81b3,1133,5315,Urban area,Divinopolis,454053,211142,709,114609,732203,141,BRA,20,0.33618374010337637,0.4335001195785771,0.27619505058243005,0.37934332027625733,0.4575807538574092,0.34279913118075306,207245,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
00006d7ad0cd56795030,4087,5324,Urban area,Conselheiro Lafaiete,250829,82073,758,41205,398717,37,BRA,20,0.29143138406673263,0.47686168339216417,0.3026392632180841,0.03677490978378494,0.4343223825482097,0.48436556405716813,111137,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000d52c836fa7445b5,4089,2690,Urban area,Barbacena,160204,97808,978,38612,286490,7,BRA,20,0.802933690030839,1.1365124387181593,1.07679495676666,0.5070144961400196,1.0757230057395297,1.2248653006871955,115490,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000fac3f85f099efe6d,72,5307,Urban area,Vale do A�o,3631913,4427575,14903,732053,11597189,26314,BRA,20,0.5559335770066287,0.8398192828926596,0.46118460116033677,0.33702576575512533,0.8541588904430557,0.488143159469985,473491,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
00007f3bcc8cbadd0136,1134,5302,Urban area,Itabira,353782,366358,22978,48036,255590,501,BRA,15,0.2202165650360142,0.2020568893579625,0.5520628740841437,0.3094170320926338,0.39357112465735333,0.3178306686514333,102202,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
