system:index,Code,FID_1,FeatureCla,city_name,count_0,count_1,count_2,count_3,count_4,count_5,country_iso3,hasPlace,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,pop_2010,region,un_region,.geo
0000e7d508cf13641865,1127,5374,Urban area,Macae,310536,192043,390,40675,318674,7406,BRA,20,0.04505974846140282,0.01573591261042378,0.1449973972802654,-0.018184490535045946,-0.09590396026242455,0.30898894432260404,202040,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
000068d2a6a0740325b8,283,5397,Urban area,Cabo Frio,372575,158416,2570,295933,637368,7068,BRA,20,-0.07765636554664586,-0.09857173706266628,-0.5241792273209884,0.6778878292854359,-0.10580229264652799,0.14573928235813083,140127,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000f8164665ed3c7120,284,5398,Urban area,Araruama,211253,103012,203,583085,327626,2058,BRA,15,1.2671622256409123,1.5008094632568258,1.561157616057757,1.2067134591585669,1.4447261862505998,0.7949703830663499,106170,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000e96512556bb0f6f1,1129,5368,Urban area,Nova Friburgo,198662,176671,2147,36219,192523,1955,BRA,20,0.24777568819886134,0.3872567994490986,0.34605640174192187,0.4867027130219784,0.28526521007396444,0.061789103919299454,159307,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000eaee8c4fdd510c45,4082,2692,Urban area,Teresopolis,178113,141089,2088,49969,274372,3270,BRA,15,0.39946879662680423,0.6443153273711913,0.5058823941028557,0.5263178622645072,0.5489897925939619,0.2052300632415464,145911,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
000087785abc66e02493,1130,5349,Urban area,Juiz De Fora,807685,548299,4153,36232,1251089,676,BRA,20,0.19649867234227072,0.35925897457088984,-0.13965053079688874,0.2621995418678806,0.27494578393986135,0.38813460739159716,509834,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000e871dae88faf7c13,1131,2691,Urban area,Petropolis,320915,181034,4403,83281,214126,1517,BRA,20,0.19723471805535095,0.22208239815836078,0.21962546249545173,0.12319744390564022,0.24640370616646012,0.28215308073578216,281194,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000a5cfac5e010c28d5,16,491,Urban area,Rio de Janeiro,9738958,7105039,1350452,3410136,20540979,126320,BRA,20,0.7120358180380933,1.0942165232312064,2.1381728094398547,1.276730730640029,1.5992107492842813,-0.1545061246447424,12373884,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000d0c3995cd1ce77c7,4083,5401,Urban area,Marica,132260,59859,1205,63985,288915,414,BRA,15,0.11489693471935176,0.28935845018898826,-0.014891674622814374,-0.12622615092015518,0.1449375564823212,1.0068700464425464,125491,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
00001c07097e8fbc34de,4085,5379,Urban area,Resende,132240,102018,2571,7551,247017,1597,BRA,15,0.27635208650601545,0.3056280273975833,0.34637199796242013,0.5909254970078657,0.4635457792191321,0.0029416627821135365,112181,Latin America and the Caribbean (LAC),Latin America And The Carribean,"{""type"":""MultiPoint"",""coordinates"":[]}"
