Time,Mask,Mean Error (global - local),Min True (local),Max True (local),Mean True (local),Median True (local),Std True (local),Min Pred (global),Max Pred (global),Mean Pred (global),Median Pred (global),Std Pred (global)
1200,Whole Area,-0.6148,26.0557,36.1459,31.3861,32.7816,3.789,26.0485,36.0581,30.7713,28.7025,3.6127
1200,Shade (Building and Tree),0.09,26.0557,31.5102,27.5243,27.6074,0.7833,26.0485,31.1332,27.6143,27.7839,0.8534
1200,No Shade,-0.2309,31.4053,36.1459,34.9093,35.0919,0.9356,31.3705,36.0581,34.6784,34.899,0.8379
1200,Building Shade,0.0819,26.0557,30.5198,27.8847,27.933,0.7089,26.0485,29.6298,27.9666,28.1067,0.7513
1200,Tree Shade,-0.0424,26.2111,31.5102,27.1435,26.9989,0.6697,26.2352,31.1332,27.1011,26.8829,0.7229
1500,Whole Area,-0.4961,23.862,32.6876,28.0501,28.9153,2.957,23.8698,32.6577,27.554,26.1993,2.7586
1500,Shade (Building and Tree),0.0359,23.862,27.7538,25.0215,24.9782,0.703,23.8698,27.7658,25.0574,25.0873,0.7206
1500,No Shade,-0.3294,27.108,32.6876,30.6923,30.8106,0.9783,27.1581,32.6577,30.3629,30.4698,0.8277
1500,Building Shade,0.0137,23.862,27.7538,25.2702,25.3768,0.726,23.8698,27.616,25.2839,25.402,0.7161
1500,Tree Shade,-0.0123,23.9541,27.7173,24.7007,24.5785,0.5188,23.9533,27.7658,24.6884,24.528,0.5569
1800,Whole Area,-0.1,20.1444,23.4856,21.1664,20.7111,0.9078,20.1749,23.391,21.0664,20.7048,0.7786
1800,Shade (Building and Tree),0.0124,20.1444,21.7949,20.6524,20.647,0.1563,20.1749,21.7697,20.6648,20.6533,0.1584
1800,No Shade,-0.1662,20.8077,23.4856,22.527,22.6369,0.6249,20.8154,23.391,22.3608,22.5119,0.533
1800,Building Shade,0.0086,20.1444,21.7204,20.6289,20.6367,0.1381,20.1749,21.3343,20.6375,20.6433,0.134
1800,Tree Shade,0.0225,20.2069,21.7949,20.7665,20.7545,0.1866,20.2417,21.7697,20.789,20.7767,0.1966
