Time,Mask,Mean Error (global - local),Min True (local),Max True (local),Mean True (local),Median True (local),Std True (local),Min Pred (global),Max Pred (global),Mean Pred (global),Median Pred (global),Std Pred (global)
1200,Whole Area,-0.6148,26.0557,36.1459,31.3861,32.7816,3.789,26.0485,36.0581,30.7713,28.7025,3.6127
1200,Building Shade,1.3379,26.0557,30.5198,27.8847,27.933,0.7089,26.0485,36.0479,29.2226,28.1999,2.7732
1200,Tree Shade,0.0013,26.2111,31.5102,27.1435,26.9989,0.6697,26.0548,36.0302,27.1448,26.8351,1.1871
1200,No Shade,-1.8034,31.4053,36.1459,34.9093,35.0919,0.9356,26.0745,36.0581,33.1059,34.7104,2.8844
1500,Whole Area,-0.4961,23.862,32.6876,28.0501,28.9153,2.957,23.8698,32.6577,27.554,26.1993,2.7586
1500,Building Shade,0.6463,23.862,27.7538,25.2702,25.3768,0.726,23.8698,32.6577,25.9165,25.4644,1.8863
1500,Tree Shade,0.0186,23.9541,27.7173,24.7007,24.5785,0.5188,23.8718,32.5202,24.7193,24.4973,0.8609
1500,No Shade,-1.2536,27.108,32.6876,30.6923,30.8106,0.9783,23.8718,32.6565,29.4387,30.2959,2.0705
1800,Whole Area,-0.1,20.1444,23.4856,21.1664,20.7111,0.9078,20.1749,23.391,21.0664,20.7048,0.7786
1800,Building Shade,0.1638,20.1444,21.7204,20.6289,20.6367,0.1381,20.1749,23.391,20.7927,20.6537,0.5239
1800,Tree Shade,0.0702,20.2069,21.7949,20.7665,20.7545,0.1866,20.2235,23.3553,20.8367,20.7648,0.3687
1800,No Shade,-0.7558,20.8077,23.4856,22.527,22.6369,0.6249,20.2323,23.3905,21.7712,22.3024,0.9284
