Time,Mask,MAE,R2,Min True,Max True,Mean True,Median True,Std True,Min Pred,Max Pred,Mean Pred,Median Pred,Std Pred
1200,Whole Area,1.0253545045852661,0.5119521021842957,26.03852,36.89069,32.50335,34.631226,3.6564507,26.043541,36.151707,32.37257,34.47671,3.6849859
1200,Shade (Building and Tree),1.4407529830932617,-16.172542572021484,26.03852,31.723171,27.370834,27.441475,0.7416809,26.043541,36.07913,28.593758,27.424305,3.1007442
1200,No Shade,0.845964789390564,-1.0112617015838623,30.1057,36.89069,34.7198,35.629242,1.6177037,26.065712,36.151707,34.00445,35.332306,2.541974
1200,Building Shade,2.900777578353882,-46.475154876708984,26.03852,31.723171,27.812958,27.782457,0.6587064,26.045557,36.07913,30.591702,28.413729,3.7067125
1200,Tree Shade,0.424027681350708,-3.198955535888672,26.211136,31.669912,27.062943,26.872194,0.6325275,26.043541,36.054432,27.202456,26.81929,1.423553
1500,Whole Area,0.8882574439048767,0.5593414306640625,23.847895,32.835114,29.023674,30.238567,2.9478507,23.852224,32.687572,28.955692,30.037474,3.012421
1500,Shade (Building and Tree),1.1051719188690186,-11.36577033996582,23.847895,28.178867,24.932873,24.81097,0.683506,23.852224,32.687572,25.84958,24.800121,2.5102315
1500,No Shade,0.7943044900894165,-0.602206826210022,25.868286,32.835114,30.795553,31.267876,1.3650723,23.854694,32.687572,30.30103,31.064487,2.0705526
1500,Building Shade,2.107757568359375,-24.40728187561035,23.847895,27.978182,25.308533,25.374546,0.6862551,23.852224,32.687572,27.258196,25.725945,3.038212
1500,Tree Shade,0.31621861457824707,-2.4136788845062256,23.954144,28.178867,24.637249,24.463938,0.51553273,23.852806,32.65539,24.741121,24.423641,1.0981445
1800,Whole Area,0.4916384518146515,0.12028145790100098,20.05115,23.485601,21.459564,20.85576,1.0625073,20.09236,23.469074,21.520283,20.905169,1.0996422
1800,Shade (Building and Tree),0.5032727122306824,-40.93245315551758,20.05115,21.881275,20.640781,20.634665,0.16129683,20.09236,23.46515,21.086037,20.682625,0.93415177
1800,No Shade,0.4780356287956238,-0.2236776351928711,20.419022,23.485601,22.416897,22.882406,0.8474311,20.097176,23.469074,22.028017,22.469133,1.0604086
1800,Building Shade,0.6141892075538635,-64.59087371826172,20.05115,21.866419,20.615208,20.614748,0.14448589,20.096972,23.457664,21.178844,20.678076,1.0210336
1800,Tree Shade,0.14090141654014587,-4.388823986053467,20.085817,21.881275,20.724329,20.722347,0.18356048,20.09236,23.46515,20.782825,20.697433,0.44450772
