Time,Class,(Local) Area %,(Global) Area %
1200D,Building Shade,5.19,6.57
1200D,Tree Shade,13.96,14.02
1200D,No Shade,80.85,79.41
1500D,Building Shade,0.9,2.08
1500D,Tree Shade,14.05,14.07
1500D,No Shade,85.05,83.85
1800D,Building Shade,12.54,14.27
1800D,Tree Shade,14.65,14.65
1800D,No Shade,72.81,71.08
