Time,Actual Class,Predicted Class,Count
1200D,Building Shade,Building Shade,12539
1200D,Building Shade,Tree Shade,934
1200D,Building Shade,No Shade,18197
1200D,Tree Shade,Building Shade,858
1200D,Tree Shade,Tree Shade,77091
1200D,Tree Shade,No Shade,7204
1200D,No Shade,Building Shade,27132
1200D,No Shade,Tree Shade,7499
1200D,No Shade,No Shade,458507
1500D,Building Shade,Building Shade,450
1500D,Building Shade,Tree Shade,328
1500D,Building Shade,No Shade,4688
1500D,Tree Shade,Building Shade,897
1500D,Tree Shade,Tree Shade,77927
1500D,Tree Shade,No Shade,6883
1500D,No Shade,Building Shade,10499
1500D,No Shade,Tree Shade,7645
1500D,No Shade,No Shade,500644
1800D,Building Shade,Building Shade,34895
1800D,Building Shade,Tree Shade,2805
1800D,Building Shade,No Shade,38808
1800D,Tree Shade,Building Shade,4646
1800D,Tree Shade,Tree Shade,78282
1800D,Tree Shade,No Shade,6429
1800D,No Shade,Building Shade,43950
1800D,No Shade,Tree Shade,8284
1800D,No Shade,No Shade,391862
