Time,Class,User Accuracy,Producer Accuracy,Weight,Weighted User Acc,Weighted Prod Acc
1200D,Building Shade,0.309,0.396,0.0519,0.0161,0.0206
1200D,Tree Shade,0.901,0.905,0.1396,0.1258,0.1264
1200D,No Shade,0.948,0.93,0.8085,0.766,0.7517
1500D,Building Shade,0.038,0.082,0.009,0.0003,0.0007
1500D,Tree Shade,0.907,0.909,0.1405,0.1275,0.1278
1500D,No Shade,0.977,0.965,0.8505,0.8313,0.8208
1800D,Building Shade,0.418,0.456,0.1254,0.0524,0.0572
1800D,Tree Shade,0.876,0.876,0.1465,0.1283,0.1283
1800D,No Shade,0.897,0.882,0.7281,0.6527,0.6424
