Time,mask,Actual Class,Predicted Class,Count
1200D,non_building,Building Shade,Building Shade,14692
1200D,non_building,Building Shade,Tree Shade,1136
1200D,non_building,Building Shade,No Shade,9793
1200D,non_building,Tree Shade,Building Shade,4601
1200D,non_building,Tree Shade,Tree Shade,29884
1200D,non_building,Tree Shade,No Shade,3899
1200D,non_building,No Shade,Building Shade,47648
1200D,non_building,No Shade,Tree Shade,4415
1200D,non_building,No Shade,No Shade,270703
1500D,non_building,Building Shade,Building Shade,340
1500D,non_building,Building Shade,Tree Shade,92
1500D,non_building,Building Shade,No Shade,789
1500D,non_building,Tree Shade,Building Shade,1362
1500D,non_building,Tree Shade,Tree Shade,34829
1500D,non_building,Tree Shade,No Shade,3763
1500D,non_building,No Shade,Building Shade,16195
1500D,non_building,No Shade,Tree Shade,4587
1500D,non_building,No Shade,No Shade,324814
1800D,non_building,Building Shade,Building Shade,47779
1800D,non_building,Building Shade,Tree Shade,2621
1800D,non_building,Building Shade,No Shade,16608
1800D,non_building,Tree Shade,Building Shade,10470
1800D,non_building,Tree Shade,Tree Shade,25675
1800D,non_building,Tree Shade,No Shade,2783
1800D,non_building,No Shade,Building Shade,67438
1800D,non_building,No Shade,Tree Shade,4149
1800D,non_building,No Shade,No Shade,209248
