Time,mask,Class,(Local) Area %,(Global) Area %
1200D,non_building,Building Shade,6.62,17.31
1200D,non_building,Tree Shade,9.92,9.16
1200D,non_building,No Shade,83.45,73.53
1500D,non_building,Building Shade,0.32,4.63
1500D,non_building,Tree Shade,10.33,10.21
1500D,non_building,No Shade,89.35,85.16
1800D,non_building,Building Shade,17.32,32.5
1800D,non_building,Tree Shade,10.06,8.39
1800D,non_building,No Shade,72.61,59.11
