Time,Class,User Accuracy,Producer Accuracy
1200D,Building Shade,0.1853746733729878,0.2331509281825018
1200D,Tree Shade,0.8316737840712197,0.8348485508403626
1200D,No Shade,0.9364069328463016,0.9186496850208915
1500D,Building Shade,0.07223405626730345,0.12429229339192158
1500D,Tree Shade,0.8770543248549888,0.8781582911414963
1500D,No Shade,0.9736772979770781,0.9632915417503403
1800D,Building Shade,0.3432373417087572,0.37579626337913197
1800D,Tree Shade,0.7645165785010402,0.7363886690639159
1800D,No Shade,0.8814811161279144,0.8720026675563323
