Time,Actual Class,Predicted Class,Count
1200D,Building Shade,Building Shade,102938
1200D,Building Shade,Tree Shade,64568
1200D,Building Shade,No Shade,274002
1200D,Tree Shade,Building Shade,57303
1200D,Tree Shade,Tree Shade,862553
1200D,Tree Shade,No Shade,113329
1200D,No Shade,Building Shade,395056
1200D,No Shade,Tree Shade,110008
1200D,No Shade,No Shade,5703443
1500D,Building Shade,Building Shade,11767
1500D,Building Shade,Tree Shade,16351
1500D,Building Shade,No Shade,66554
1500D,Tree Shade,Building Shade,26602
1500D,Tree Shade,Tree Shade,936259
1500D,Tree Shade,No Shade,103301
1500D,No Shade,Building Shade,124532
1500D,No Shade,Tree Shade,114894
1500D,No Shade,No Shade,6282940
1800D,Building Shade,Building Shade,394078
1800D,Building Shade,Tree Shade,120361
1800D,Building Shade,No Shade,534209
1800D,Tree Shade,Building Shade,167823
1800D,Tree Shade,Tree Shade,795598
1800D,Tree Shade,No Shade,116984
1800D,No Shade,Building Shade,586220
1800D,No Shade,Tree Shade,124696
1800D,No Shade,No Shade,4843231
