Time,mask,Class,(Local) Area %,(Global) Area %
1200D,non_building,Building Shade,34.57,43.99
1200D,non_building,Tree Shade,22.44,18.4
1200D,non_building,No Shade,42.99,37.61
1500D,non_building,Building Shade,22.36,31.56
1500D,non_building,Tree Shade,23.94,20.52
1500D,non_building,No Shade,53.7,47.92
1800D,non_building,Building Shade,31.25,41.17
1800D,non_building,Tree Shade,23.48,19.88
1800D,non_building,No Shade,45.27,38.95
