Time,mask,Actual Class,Predicted Class,Count
1200D,non_building,Building Shade,Building Shade,543543
1200D,non_building,Building Shade,Tree Shade,20665
1200D,non_building,Building Shade,No Shade,55455
1200D,non_building,Tree Shade,Building Shade,98781
1200D,non_building,Tree Shade,Tree Shade,291189
1200D,non_building,Tree Shade,No Shade,12226
1200D,non_building,No Shade,Building Shade,146152
1200D,non_building,No Shade,Tree Shade,17996
1200D,non_building,No Shade,No Shade,606456
1500D,non_building,Building Shade,Building Shade,337355
1500D,non_building,Building Shade,Tree Shade,19398
1500D,non_building,Building Shade,No Shade,43968
1500D,non_building,Tree Shade,Building Shade,79608
1500D,non_building,Tree Shade,Tree Shade,332007
1500D,non_building,Tree Shade,No Shade,17547
1500D,non_building,No Shade,Building Shade,148737
1500D,non_building,No Shade,Tree Shade,16383
1500D,non_building,No Shade,No Shade,797460
1800D,non_building,Building Shade,Building Shade,496089
1800D,non_building,Building Shade,Tree Shade,16331
1800D,non_building,Building Shade,No Shade,47638
1800D,non_building,Tree Shade,Building Shade,84188
1800D,non_building,Tree Shade,Tree Shade,320947
1800D,non_building,Tree Shade,No Shade,15808
1800D,non_building,No Shade,Building Shade,157729
1800D,non_building,No Shade,Tree Shade,18986
1800D,non_building,No Shade,No Shade,634747
