Time,mask,Actual Class,Predicted Class,Count
1200D,non_building,Building Shade,Building Shade,12265
1200D,non_building,Building Shade,Tree Shade,443
1200D,non_building,Building Shade,No Shade,4234
1200D,non_building,Tree Shade,Building Shade,815
1200D,non_building,Tree Shade,Tree Shade,73274
1200D,non_building,Tree Shade,No Shade,6062
1200D,non_building,No Shade,Building Shade,25710
1200D,non_building,No Shade,Tree Shade,6063
1200D,non_building,No Shade,No Shade,303126
1500D,non_building,Building Shade,Building Shade,477
1500D,non_building,Building Shade,Tree Shade,85
1500D,non_building,Building Shade,No Shade,631
1500D,non_building,Tree Shade,Building Shade,872
1500D,non_building,Tree Shade,Tree Shade,73984
1500D,non_building,Tree Shade,No Shade,6068
1500D,non_building,No Shade,Building Shade,10767
1500D,non_building,No Shade,Tree Shade,6479
1500D,non_building,No Shade,No Shade,332629
1800D,non_building,Building Shade,Building Shade,34328
1800D,non_building,Building Shade,Tree Shade,871
1800D,non_building,Building Shade,No Shade,4685
1800D,non_building,Tree Shade,Building Shade,4295
1800D,non_building,Tree Shade,Tree Shade,75686
1800D,non_building,Tree Shade,No Shade,5764
1800D,non_building,No Shade,Building Shade,44885
1800D,non_building,No Shade,Tree Shade,7096
1800D,non_building,No Shade,No Shade,254382
