Time,mask,Class,User Accuracy,Producer Accuracy,Weight (Global),Weighted User Acc (Global),Weighted Prod Acc (Global)
1200D,non_building,Building Shade,0.316,0.724,0.0898,0.0284,0.065
1200D,non_building,Tree Shade,0.918,0.914,0.1847,0.1696,0.1688
1200D,non_building,No Shade,0.967,0.905,0.7255,0.7017,0.6567
1500D,non_building,Building Shade,0.039,0.4,0.028,0.0011,0.0112
1500D,non_building,Tree Shade,0.919,0.914,0.1865,0.1713,0.1705
1500D,non_building,No Shade,0.98,0.951,0.7855,0.77,0.7468
1800D,non_building,Building Shade,0.411,0.861,0.1933,0.0795,0.1664
1800D,non_building,Tree Shade,0.905,0.883,0.1936,0.1752,0.1709
1800D,non_building,No Shade,0.961,0.83,0.613,0.5889,0.509
