Time,mask,Class,User Accuracy,Producer Accuracy,Weight (Global),Weighted User Acc (Global),Weighted Prod Acc (Global)
1200D,pedestrian,Building Shade,0.169,0.248,0.1255,0.0212,0.0311
1200D,pedestrian,Tree Shade,0.859,0.88,0.167,0.1435,0.1469
1200D,pedestrian,No Shade,0.92,0.866,0.7075,0.6507,0.6128
1500D,pedestrian,Building Shade,0.1,0.173,0.0298,0.003,0.0052
1500D,pedestrian,Tree Shade,0.926,0.95,0.1826,0.1691,0.1734
1500D,pedestrian,No Shade,0.981,0.96,0.7877,0.7725,0.7561
1800D,pedestrian,Building Shade,0.444,0.566,0.2549,0.1133,0.1444
1800D,pedestrian,Tree Shade,0.777,0.77,0.1734,0.1347,0.1336
1800D,pedestrian,No Shade,0.872,0.798,0.5717,0.4988,0.4561
