Time,mask,Actual Class,Predicted Class,Count
1200D,pedestrian,Building Shade,Building Shade,18521
1200D,pedestrian,Building Shade,Tree Shade,11917
1200D,pedestrian,Building Shade,No Shade,44264
1200D,pedestrian,Tree Shade,Building Shade,11874
1200D,pedestrian,Tree Shade,Tree Shade,125386
1200D,pedestrian,Tree Shade,No Shade,5304
1200D,pedestrian,No Shade,Building Shade,79257
1200D,pedestrian,No Shade,Tree Shade,8580
1200D,pedestrian,No Shade,No Shade,568403
1500D,pedestrian,Building Shade,Building Shade,2606
1500D,pedestrian,Building Shade,Tree Shade,2734
1500D,pedestrian,Building Shade,No Shade,9709
1500D,pedestrian,Tree Shade,Building Shade,4311
1500D,pedestrian,Tree Shade,Tree Shade,147690
1500D,pedestrian,Tree Shade,No Shade,3533
1500D,pedestrian,No Shade,Building Shade,19074
1500D,pedestrian,No Shade,Tree Shade,9059
1500D,pedestrian,No Shade,No Shade,674790
1800D,pedestrian,Building Shade,Building Shade,98933
1800D,pedestrian,Building Shade,Tree Shade,18056
1800D,pedestrian,Building Shade,No Shade,57661
1800D,pedestrian,Tree Shade,Building Shade,28992
1800D,pedestrian,Tree Shade,Tree Shade,117664
1800D,pedestrian,Tree Shade,No Shade,6061
1800D,pedestrian,No Shade,Building Shade,94692
1800D,pedestrian,No Shade,Tree Shade,15743
1800D,pedestrian,No Shade,No Shade,435704
