Time,Class,(Local) Area %,(Global) Area %
1200D,Building Shade,7.09,13.16
1200D,Tree Shade,8.39,7.89
1200D,No Shade,84.51,78.95
1500D,Building Shade,0.3,3.2
1500D,Tree Shade,8.61,8.48
1500D,No Shade,91.09,88.32
1800D,Building Shade,15.67,22.63
1800D,Tree Shade,8.45,7.46
1800D,No Shade,75.89,69.91
