Time,Actual Class,Predicted Class,Count
1200D,Building Shade,Building Shade,17347
1200D,Building Shade,Tree Shade,1850
1200D,Building Shade,No Shade,23083
1200D,Tree Shade,Building Shade,5329
1200D,Tree Shade,Tree Shade,38807
1200D,Tree Shade,No Shade,5866
1200D,No Shade,Building Shade,55762
1200D,No Shade,Tree Shade,6372
1200D,No Shade,No Shade,441504
1500D,Building Shade,Building Shade,346
1500D,Building Shade,Tree Shade,133
1500D,Building Shade,No Shade,1313
1500D,Tree Shade,Building Shade,1431
1500D,Tree Shade,Tree Shade,43725
1500D,Tree Shade,No Shade,6124
1500D,No Shade,Building Shade,17277
1500D,No Shade,Tree Shade,6691
1500D,No Shade,No Shade,518880
1800D,Building Shade,Building Shade,49934
1800D,Building Shade,Tree Shade,4301
1800D,Building Shade,No Shade,39136
1800D,Tree Shade,Building Shade,11073
1800D,Tree Shade,Tree Shade,33961
1800D,Tree Shade,No Shade,5298
1800D,No Shade,Building Shade,73843
1800D,No Shade,Tree Shade,6208
1800D,No Shade,No Shade,372166
