City,CRS,Tallest Building (m),Tallest Building (pixel),Tallest Building (coords),Lowest Building (m),Lowest Building (pixel),Lowest Building (coords),Highest Ground (m),Highest Ground (pixel),Highest Ground (coords),Lowest Ground (m),Lowest Ground (pixel),Lowest Ground (coords)
Monterrey1,EPSG:32614,730.14,"(np.int64(3259), np.int64(832))","(np.float64(364831.4258450449), np.float64(2840040.85949643))",542.43,"(np.int64(0), np.int64(2596))","(np.float64(366595.4258450449), np.float64(2843299.85949643))",655.67,"(np.int64(2765), np.int64(909))","(np.float64(364908.4258450449), np.float64(2840534.85949643))",542.43,"(np.int64(1), np.int64(2598))","(np.float64(366597.4258450449), np.float64(2843298.85949643))"
Monterrey2,EPSG:32614,703.82,"(np.int64(316), np.int64(100))","(np.float64(359299.46418379794), np.float64(2847791.6174325855))",624.05,"(np.int64(0), np.int64(1000))","(np.float64(360199.46418379794), np.float64(2848107.6174325855))",694.09,"(np.int64(1016), np.int64(0))","(np.float64(359199.46418379794), np.float64(2847091.6174325855))",624.05,"(np.int64(0), np.int64(1000))","(np.float64(360199.46418379794), np.float64(2848107.6174325855))"
Monterrey3,EPSG:32614,824.82,"(np.int64(0), np.int64(1010))","(np.float64(365011.0417190776), np.float64(2849681.61784259))",541.86,"(np.int64(1093), np.int64(294))","(np.float64(364295.0417190776), np.float64(2848588.61784259))",824.82,"(np.int64(0), np.int64(1010))","(np.float64(365011.0417190776), np.float64(2849681.61784259))",541.86,"(np.int64(1093), np.int64(295))","(np.float64(364296.0417190776), np.float64(2848588.61784259))"
RiodeJaneiro,EPSG:32723,444.58,"(np.int64(1184), np.int64(2065))","(np.float64(687736.1763419888), np.float64(7465466.811643926))",0.0,"(np.int64(191), np.int64(1709))","(np.float64(687380.1763419888), np.float64(7466459.811643926))",68.78,"(np.int64(2038), np.int64(555))","(np.float64(686226.1763419888), np.float64(7464612.811643926))",0.0,"(np.int64(1949), np.int64(2026))","(np.float64(687697.1763419888), np.float64(7464701.811643926))"
Amsterdam,EPSG:32631,74.79,"(np.int64(2142), np.int64(1309))","(np.float64(629426.1320285159), np.float64(5802712.750022088))",-1.5,"(np.int64(2147), np.int64(1591))","(np.float64(629708.1320285159), np.float64(5802707.750022088))",14.26,"(np.int64(603), np.int64(810))","(np.float64(628927.1320285159), np.float64(5804251.750022088))",-1.5,"(np.int64(1578), np.int64(1405))","(np.float64(629522.1320285159), np.float64(5803276.750022088))"
Bhopal,EPSG:32643,600.84,"(np.int64(1122), np.int64(70))","(np.float64(743874.4270508265), np.float64(2571916.9784691012))",500.16,"(np.int64(3175), np.int64(3366))","(np.float64(747170.4270508265), np.float64(2569863.9784691012))",594.24,"(np.int64(1289), np.int64(6))","(np.float64(743810.4270508265), np.float64(2571749.9784691012))",500.16,"(np.int64(3182), np.int64(3365))","(np.float64(747169.4270508265), np.float64(2569856.9784691012))"
