City,CRS,DSM/DEM size (w x h),DSM/DEM area (sq m)
Monterrey1,EPSG:32614,2601 x 3400,8843400.0
Monterrey2,EPSG:32614,1001 x 1017,1018017.0
Monterrey3,EPSG:32614,1011 x 1094,1106034.0
RiodeJaneiro,EPSG:32723,2302 x 2039,4693778.0
CapeTown,EPSG:32734,2306 x 2658,6129348.000000077
Amsterdam,EPSG:32631,2372 x 2267,5377324.0
Bhopal,EPSG:32643,3403 x 3269,11124407.0
