Time,Mean Absolute Error,Minimum Absolute Error,Maximum Absolute Error,90th percentile,95th percentile
1200,1.1488,0.0,8.2389,6.7825,7.4421
1500,0.6988,0.0,6.5396,3.1179,5.3122
1800,0.705,0.0,5.0056,3.2025,4.1772
