Time,Class,User Accuracy,Producer Accuracy,Weight (Local),Weighted User Acc (Local),Weighted Prod Acc (Local)
1200D,Building Shade,0.66,0.61,0.2558,0.1687,0.156
1200D,Tree Shade,0.797,0.748,0.1516,0.1208,0.1134
1200D,No Shade,0.851,0.892,0.5926,0.5043,0.5286
1500D,Building Shade,0.552,0.621,0.1408,0.0778,0.0874
1500D,Tree Shade,0.859,0.8,0.1597,0.1371,0.1278
1500D,No Shade,0.923,0.914,0.6995,0.6457,0.6395
1800D,Building Shade,0.626,0.599,0.224,0.1402,0.1343
1800D,Tree Shade,0.831,0.781,0.1536,0.1276,0.12
1800D,No Shade,0.865,0.891,0.6224,0.5386,0.5547
