Time,Class,User Accuracy,Producer Accuracy,Weight (Global),Weighted User Acc (Global),Weighted Prod Acc (Global)
1200D,Building Shade,0.66,0.61,0.2365,0.156,0.1442
1200D,Tree Shade,0.797,0.748,0.1423,0.1134,0.1065
1200D,No Shade,0.851,0.892,0.6212,0.5286,0.5541
1500D,Building Shade,0.552,0.621,0.1583,0.0874,0.0983
1500D,Tree Shade,0.859,0.8,0.1488,0.1278,0.1191
1500D,No Shade,0.923,0.914,0.6928,0.6395,0.6334
1800D,Building Shade,0.626,0.599,0.2145,0.1343,0.1286
1800D,Tree Shade,0.831,0.781,0.1444,0.12,0.1127
1800D,No Shade,0.865,0.891,0.6411,0.5547,0.5714
