Time,Class,(Local) Area %,(Global) Area %
1200D,Building Shade,25.58,23.65
1200D,Tree Shade,15.16,14.23
1200D,No Shade,59.26,62.12
1500D,Building Shade,14.08,15.83
1500D,Tree Shade,15.97,14.88
1500D,No Shade,69.95,69.28
1800D,Building Shade,22.4,21.45
1800D,Tree Shade,15.36,14.44
1800D,No Shade,62.24,64.11
