Time,Class,User Accuracy,Producer Accuracy,Weight (Global),Weighted User Acc (Global),Weighted Prod Acc (Global)
1200D,Building Shade,0.068,0.151,0.0504,0.0034,0.0076
1200D,Tree Shade,0.925,0.909,0.136,0.1258,0.1236
1200D,No Shade,0.973,0.944,0.8136,0.7916,0.7678
1500D,Building Shade,0.172,0.273,0.0855,0.0147,0.0233
1500D,Tree Shade,0.889,0.859,0.1307,0.1162,0.1122
1500D,No Shade,0.952,0.92,0.7837,0.7461,0.7212
1800D,Building Shade,0.462,0.5,0.2762,0.1277,0.1381
1800D,Tree Shade,0.716,0.642,0.134,0.0959,0.086
1800D,No Shade,0.803,0.796,0.5898,0.4738,0.4695
