Time,Class,User Accuracy,Producer Accuracy,Weight (Local),Weighted User Acc (Local),Weighted Prod Acc (Local)
1200D,Building Shade,0.068,0.151,0.0229,0.0016,0.0034
1200D,Tree Shade,0.925,0.909,0.1384,0.128,0.1258
1200D,No Shade,0.973,0.944,0.8388,0.816,0.7916
1500D,Building Shade,0.172,0.273,0.0539,0.0092,0.0147
1500D,Tree Shade,0.889,0.859,0.1354,0.1203,0.1162
1500D,No Shade,0.952,0.92,0.8108,0.7718,0.7461
1800D,Building Shade,0.462,0.5,0.2554,0.118,0.1277
1800D,Tree Shade,0.716,0.642,0.1495,0.107,0.0959
1800D,No Shade,0.803,0.796,0.5951,0.4781,0.4738
