Time,Class,(Local) Area %,(Global) Area %
1200D,Building Shade,2.29,5.04
1200D,Tree Shade,13.84,13.6
1200D,No Shade,83.88,81.36
1500D,Building Shade,5.39,8.55
1500D,Tree Shade,13.54,13.07
1500D,No Shade,81.08,78.37
1800D,Building Shade,25.54,27.62
1800D,Tree Shade,14.95,13.4
1800D,No Shade,59.51,58.98
